video_name,location,pl_start,start_date_time,pl_end,end_date_time,duration,pc_name,eiin,school_name,pc_id,lab_id
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023, 3:06:36 PM","3.222273","6/15/2023, 3:06:39 PM","3.222273","Meta DEV 02",5566,"Saint Johns School",45,455
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023, 3:07:01 PM","4.636628","6/15/2023, 3:07:02 PM","1.414321","Meta DEV 02",5566,"Saint Johns School",45,455
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023, 3:07:16 PM","15.234136","6/15/2023, 3:07:27 PM","10.525752","Meta DEV 02",5566,"Saint Johns School",45,455
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023, 3:07:01 PM","4.636628","6/15/2023, 3:07:02 PM","1.414321","Meta DEV 02",5566,"Saint Johns School",45,455
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","7/4/2023, 5:36:21 PM","4.779131","7/4/2023, 5:36:26 PM","4.779131","Meta DEV 02",5566,"Saint Johns School",45,455
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.779148","7/4/2023, 5:37:35 PM","9.445875","7/4/2023, 5:37:40 PM","4.666727","Meta DEV 02",5566,"Saint Johns School",45,455
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","9.445883","7/4/2023, 5:39:53 PM","12.161818","7/4/2023, 5:39:56 PM","2.715935","Meta DEV 02",5566,"Saint Johns School",45,455
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","29.445883","7/4/2023, 5:39:53 PM","12.161818","7/4/2023, 5:39:56 PM","2.715935","Meta DEV 02",5566,"Saint Johns School",45,455
