video_name,location,start_date,start_time,end_date,end_time,duration,school_name,pl_start,pl_end,pc_name,eiin,pc_id,lab_id
"Articles_ Uses of The _ 2 _ Article in English Grammar","../G8-10/Articles_ Uses of The _ 2 _ Article in English Grammar.mp4","13/07/2023","16:14","13/07/2023","16:14","0 minutes","sunbeems","0","4.46","Meta DEV 02",123456,"123456-L12","123456-P12"
"Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar","../G8-10/Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar.mp4","13/07/2023","15:56","13/07/2023","15:56","0 minutes","sunbeems","0","1.32","Meta DEV 02",123456,"123456-L12","123456-P12"
"Sample Video","videos/sample.mp4","13/07/2023","10:00","13/07/2023","10:01","1 minutes","sunbeems","0","60","Meta DEV 02",123456,"123456-L12","123456-P12"
