Start Time,End Time,Total Time
"6/21/2023, 11:03:26 AM","6/21/2023 15:47","4 hours 43 minutes"
"7/4/2023, 5:28:56 PM","7/4/2023, 5:34:02 PM","5 minutes"
"7/4/2023, 5:28:56 PM","7/4/2023, 5:36:02 PM","7 minutes"
