Start Time,End Time,Total Time
"6/21/2023, 11:03:26 AM","06/21/2023 3:47:15 PM","4 hours 43 minutes"
"7/4/2023, 5:28:56 PM","7/4/2023, 5:49:44 PM","20 minutes"
"7/5/2023, 3:17:11 PM","7/5/2023, 3:18:52 PM","1 minute"
