Start Time,End Time,Total Time
"6/21/2023, 11:03:26 AM","06/21/2023 3:47:15 PM","4 hours 43 minutes"
"7/4/2023, 5:28:56 PM","7/4/2023, 5:34:02 PM","5 minutes"
"6/21/2023, 11:03:26 AM","06/21/2023 3:47:15 PM","4 hours 43 minutes"
"7/4/2023, 5:28:56 PM","7/4/2023, 5:34:02 PM","5 minutes"
"6/21/2023, 11:03:26 AM","06/21/2023 3:47:15 PM","4 hours 43 minutes"
"7/4/2023, 5:28:56 PM","7/4/2023, 5:34:02 PM","5 minutes"
