User Name,EIIN,School Name,PC ID,Lab ID
"Meta DEV 02",125456,aga khan school,12-L-125456,33-P-125456
Start Time,End Time,Total Time
"6/21/2023, 11:03:26 AM","06/21/2023 3:47:15 PM","4 hours 43 minutes"
"7/4/2023, 5:28:56 PM","7/4/2023, 5:49:44 PM","20 minutes"
"7/5/2023, 3:17:11 PM","7/5/2023, 6:47:06 PM","3 hours 29 minutes"
"7/6/2023, 11:48:46 AM","7/6/2023, 5:47:12 PM","5 hours 58 minutes"
"7/8/2023, 11:14:43 AM","7/8/2023, 11:16:48 AM","2 minutes"
"7/9/2023, 1:46:03 PM","7/9/2023, 3:34:56 PM","1 hour 48 minutes"
