Video Name,Location,Player Time,PC Time Start,Player End Time,PC End Time,Total Time,User Name,EIIN,School Name,PC ID,Lab ID
"Sample Video","videos/sample.mp4","0","2023-07-13 10:00:00","60","2023-07-13 10:01:00","1.00","Meta DEV 02",108323,Kamal Ahmed Majumder School and College,108323-L3,108323-P3
"Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar","../G8-10/Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar.mp4","0","7/13/2023, 3:56:36 PM","1.32","7/13/2023, 3:56:37 PM","0.02","Meta DEV 02",108323,Kamal Ahmed Majumder School and College,108323-L3,108323-P3
"Articles_ Uses of The _ 2 _ Article in English Grammar","../G8-10/Articles_ Uses of The _ 2 _ Article in English Grammar.mp4","0","7/13/2023, 4:14:46 PM","4.46","7/13/2023, 4:14:51 PM","0.07","Meta DEV 02",108323,Kamal Ahmed Majumder School and College,108323-L3,108323-P3
"অধ্যায় ০৪ - বীজগণিতীয় রাশির গুণ ও ভাগ - (৪.১) [Class 7]","../G7/অধ্যায় ০৪ - বীজগণিতীয় রাশির গুণ ও ভাগ - (৪.১) [Class 7].mp4","0","7/16/2023, 12:40:07 PM","0","7/16/2023, 12:40:07 PM","0.00","Meta DEV 02",108323,Kamal Ahmed Majumder School and College,108323-L3,108323-P3
"অধ্যায় ৪_বীজগণিতিয় সূত্রাবলি ও প্রয়োগ - (৪.১)- পর্ব ৩ [JSC]","../G8/অধ্যায় ৪_বীজগণিতিয় সূত্রাবলি ও প্রয়োগ - (৪.১)- পর্ব ৩ [JSC].mp4","0","7/16/2023, 1:00:15 PM","3.63","7/16/2023, 1:00:19 PM","0.06","Meta DEV 02",108323,Kamal Ahmed Majumder School and College,108323-L3,108323-P3
