video_name,location,start_date,start_time,end_date,end_time,duration,school_name,pl_start,pl_end,pc_name,eiin,pc_id,lab_id
,"../G8-10/Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar.mp4","13/07/2023","15:56","13/07/2023","15:56","0 minutes","Bishnapur Uccho Biddaloy","0","1.32","Meta DEV 02",106012,"106012-L1","106012-P7"
,"../G8-10/Articles_ Uses of The _ 2 _ Article in English Grammar.mp4","13/07/2023","16:14","13/07/2023","16:14","0 minutes","Bishnapur Uccho Biddaloy","0","4.46","Meta DEV 02",106012,"106012-L1","106012-P7"
,"../G7/অধ্যায় ০৪ - বীজগণিতীয় রাশির গুণ ও ভাগ - (৪.১) [Class 7].mp4","16/07/2023","12:40","16/07/2023","12:40","0 minutes","Bishnapur Uccho Biddaloy","0","0","Meta DEV 02",106012,"106012-L1","106012-P7"
,"../G8/অধ্যায় ৪_বীজগণিতিয় সূত্রাবলি ও প্রয়োগ - (৪.১)- পর্ব ৩ [JSC].mp4","16/07/2023","13:00","16/07/2023","13:00","0 minutes","Bishnapur Uccho Biddaloy","0","3.63","Meta DEV 02",106012,"106012-L1","106012-P7"
,"videos/sample.mp4","13/07/2023","10:00","13/07/2023","10:01","1 minutes","Bishnapur Uccho Biddaloy","0","60","Meta DEV 02",106012,"106012-L1","106012-P7"
