Start Date,Start Time,End Date,End Time,Total Time
"17/07/2023","11:40","17/07/2023","17:30","350  minutes"
"17/07/2023","11:40","17/07/2023","17:32","352  minutes"
"17/07/2023","11:40","17/07/2023","17:34","355  minutes"
