video_name,location,start_date,start_time,end_date,end_time,duration,school_name,pl_start,pl_end,pc_name,eiin,pc_id,lab_id
"Articles_ Introduction and Classification_ Uses of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Introduction and Classification_ Uses of A and An _ Article in English Grammar.mp4","09/07/2023","15:23","09/07/2023","15:23","0 minutes","aga khan school","0","3.62","Meta DEV 02",125456,"12-L-125456","33-P-125456"
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","05/07/2023","16:01","05/07/2023","16:01","2 minutes","aga khan school","0","2.109052","Meta DEV 02",125456,"12-L-125456","33-P-125456"
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","04/07/2023","17:39","04/07/2023","17:39","3 minutes","aga khan school","9.445883","12.161818","Meta DEV 02",125456,"12-L-125456","33-P-125456"
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","04/07/2023","17:37","04/07/2023","17:37","5 minutes","aga khan school","4.779148","9.445875","Meta DEV 02",125456,"12-L-125456","33-P-125456"
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","04/07/2023","17:36","04/07/2023","17:36","5 minutes","aga khan school","0","4.779131","Meta DEV 02",125456,"12-L-125456","33-P-125456"
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","15/06/2023","15:07","15/06/2023","15:07","1 minutes","aga khan school","3.222307","4.636628","Meta DEV 02",125456,"12-L-125456","33-P-125456"
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","15/06/2023","15:07","15/06/2023","15:07","11 minutes","aga khan school","4.708384","15.234136","Meta DEV 02",125456,"12-L-125456","33-P-125456"
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","15/06/2023","15:07","15/06/2023","15:07","1 minutes","aga khan school","3.222307","4.636628","Meta DEV 02",125456,"12-L-125456","33-P-125456"
"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","15/06/2023","15:06","15/06/2023","15:06","3 minutes","aga khan school","0","3.222273","Meta DEV 02",125456,"12-L-125456","33-P-125456"
